NAME,LAT,LON,CONT
"Eiffel Tower, Paris",48.85887957,2.294484311,Europe
"The Colosseum, Rome",41.89039388,12.49222017,Europe
"Statue of Liberty, New York City",40.68942022,-74.04441457,North America
"Machu Picchu, Peru",-13.16291136,-72.5449629,South America
"The Acropolis, Athens",37.97173526,23.72575993,Europe
"The Taj Mahal, India",27.17523635,78.04214601,Asia 
"Pyramids of Giza, Egypt",29.97943894,31.1342019,Africa 
Great Wall of China,40.4340577,116.5704004,Asia 
"Angkor Wat, Cambodia",13.41248205,103.8669888,Asia 
"Petra, Jordan",30.32307063,35.48015088,Asia 
"Grand Canyon, USA",36.10055981,-112.1123559,North America
"Stonehenge, England",51.17991111,-1.826162291,Europe
"Borobudur, Indonesia",-7.607703644,110.2040088,Asia 
"Niagara Falls, Canada & USA",43.09636654,-79.03826781,North America
"Bagan, Myanmar",21.17198746,94.85929774,Asia 
Sydney Opera House,-33.8566151,151.2156078,Oceania
Mount Kilimanjaro,-3.06064575,37.35569405,Africa 
"The Louvre, Paris",48.86444601,2.327359609,Europe
"Forbidden City, China",39.91713664,116.391128,Asia 
"Prague Castle, Czech Republic",50.09124113,14.40162723,Europe
"Chichen Itza, Mexico",20.68459037,-88.56719963,North America
"Corcovado and Cristo Redentor, Rio de Janeiro",-22.95138441,-43.20985887,South America
"Château de Versailles, France",48.8050274,2.120730907,Europe
Mount Fuji,35.36146465,138.7250459,Asia 
"Central Park, New York City",40.78139861,-73.96613829,North America